-0.000097,-0.000000,-0.000001,0.000022,0.000000,-0.000000,0.000023,-0.000003,-0.000001,0.000001,|-0.000135,-0.000001,-0.000000,-0.000117,0.000000,-0.000000,0.000012,0.000005,-0.000000,0.000001,
0.000031,-0.000000,0.000001,0.000030,-0.000000,0.000000,0.000011,-0.000004,0.000001,-0.000000,|-0.000035,-0.000000,0.000000,-0.000010,-0.000000,-0.000000,-0.000032,-0.000000,-0.000000,0.000000,
0.000054,0.000000,0.000001,-0.000023,0.000000,-0.000000,0.000005,-0.000005,-0.000001,-0.000000,|0.000042,0.000000,0.000000,0.000055,0.000000,0.000000,0.000026,-0.000002,0.000000,-0.000000,
-0.000022,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000003,-0.000003,0.000000,-0.000000,|-0.000031,0.000000,0.000000,-0.000074,0.000000,-0.000000,-0.000015,0.000003,-0.000000,-0.000001,
-0.000021,-0.000000,-0.000000,0.000033,-0.000000,0.000000,0.000001,0.000001,0.000000,-0.000000,|-0.000011,-0.000001,-0.000000,0.000038,0.000000,-0.000000,-0.000021,-0.000000,-0.000000,0.000001,
0.000018,-0.000000,-0.000000,0.000020,-0.000000,0.000000,-0.000000,0.000003,-0.000000,-0.000000,|0.000004,0.000000,-0.000000,-0.000028,0.000000,0.000000,-0.000006,-0.000001,0.000000,-0.000000,
0.000001,-0.000000,-0.000000,0.000005,0.000000,-0.000000,-0.000001,-0.000002,-0.000000,-0.000000,|0.000008,-0.000000,-0.000000,-0.000043,0.000000,0.000000,0.000008,0.000000,0.000000,-0.000000,
-0.000007,-0.000000,0.000000,0.000004,0.000000,-0.000000,0.000001,0.000002,0.000000,-0.000000,|0.000008,-0.000000,0.000000,0.000024,0.000000,0.000000,0.000008,-0.000001,0.000000,0.000000,
-0.000001,-0.000000,-0.000000,-0.000002,0.000000,0.000000,-0.000001,0.000002,0.000000,0.000000,|-0.000000,0.000000,-0.000000,0.000018,0.000000,0.000000,-0.000018,-0.000001,0.000000,0.000000,
0.000003,0.000000,-0.000000,-0.000002,0.000000,0.000000,-0.000000,0.000001,-0.000000,-0.000000,|-0.000004,-0.000000,-0.000000,-0.000015,0.000000,-0.000000,-0.000005,0.000000,-0.000000,0.000000,
-0.000002,-0.000000,0.000000,0.000002,0.000000,-0.000000,0.000000,-0.000001,-0.000000,-0.000000,|0.000000,-0.000000,-0.000000,-0.000013,0.000000,-0.000000,0.000010,0.000000,-0.000000,-0.000000,
-0.000001,-0.000000,0.000000,0.000001,0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000000,|0.000002,0.000000,-0.000000,0.000008,0.000000,0.000000,-0.000013,0.000000,0.000000,0.000000,
0.000002,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,|-0.000001,0.000000,0.000000,0.000008,-0.000000,0.000000,-0.000001,-0.000000,-0.000000,-0.000000,
-0.000003,0.000000,0.000000,0.000001,0.000000,-0.000000,0.000000,0.000001,-0.000000,0.000000,|-0.000001,-0.000000,-0.000000,0.000002,-0.000000,-0.000000,0.000006,-0.000000,-0.000000,0.000000,
