0.001525,0.007323,-0.001044,0.017637,0.516485,0.000092,-0.000767,-0.001702,0.012640,0.010306,|0.003577,0.006899,0.391146,0.009664,0.002829,0.000121,0.000896,0.017975,-0.010367,-0.000032,
0.003110,-0.007803,-0.000524,0.005208,-0.757747,-0.003695,0.000011,0.002993,0.003405,-0.001164,|0.005752,0.005492,-0.923465,0.010966,-0.011300,0.001016,0.000761,-0.025599,-0.004359,0.000221,
0.002703,-0.010077,-0.000149,-0.008033,-0.757747,-0.000924,0.000521,-0.000156,-0.018441,-0.002297,|-0.000703,-0.003026,0.963691,0.008737,0.000923,-0.000797,0.000601,0.007900,0.016602,0.000883,
0.002015,0.015030,-0.000083,-0.002572,-0.757747,0.002318,-0.000153,-0.001227,-0.002607,0.004666,|-0.003398,0.001886,0.160615,-0.007741,0.000964,-0.001403,0.000275,0.014768,0.000948,0.000230,
0.002033,-0.016987,-0.000748,0.001045,-0.757747,-0.000819,-0.000087,0.003252,0.009462,-0.003431,|-0.000833,0.003523,-0.442472,-0.012409,-0.001509,0.001315,-0.000108,-0.002085,-0.008228,0.000178,
0.000053,0.024019,-0.001458,-0.000976,-0.757747,-0.000526,-0.000055,-0.005333,0.003371,-0.004902,|0.001373,0.001685,0.277091,0.000885,-0.001872,-0.000516,-0.000294,-0.001492,0.009757,0.000411,
-0.001164,-0.025713,-0.000342,-0.001747,-0.757747,0.001138,-0.000096,0.002123,-0.012667,0.005506,|-0.000187,0.001596,-0.201583,0.006195,-0.001088,-0.000149,-0.000008,0.001736,-0.001889,0.000797,
0.000273,-0.018064,-0.001062,-0.000039,-0.757747,-0.000721,-0.000115,0.001809,0.007932,0.003769,|-0.000596,0.002998,-0.094970,-0.002455,0.001267,0.000589,0.000131,-0.000499,0.000775,-0.000088,
0.000518,0.055757,-0.000705,0.000134,-0.757747,0.000056,-0.000097,-0.001300,-0.000325,-0.001199,|-0.000457,0.001863,0.053667,0.000318,0.000040,0.000282,-0.000176,-0.000739,0.001363,-0.000130,
-0.000144,-0.073107,-0.000257,0.000098,-0.757747,0.000497,-0.000087,0.000073,-0.004196,0.000441,|0.000026,0.001675,-0.119624,0.001296,-0.003545,-0.000323,-0.000109,0.000817,-0.001092,0.000523,
